Geneid,Gene Type,Product Description,BD,BD.1,BD.2,BP,BP.1,BP.2,DA,DA.1,DA.2,DD,DD.1,DD.2,DP,DP.1,DP.2
AGAP000002,protein coding gene,unspecified product,2030,1601,1555,1438,1248,1569,1179,2039,788,1613,1552,1360,1035,749,1119
AGAP000005,protein coding gene,high mobility group protein B1,4666,3468,3322,3663,2724,3495,2433,4406,1476,3365,3422,3026,3101,2040,2919
AGAP000007,protein coding gene,contactin-like putative cell adhesion molecule,2000,1819,1666,1188,1226,1481,677,1616,374,1311,1281,1306,1059,797,1037
AGAP000008,protein coding gene,DnaJ (Hsp40) homolog subfamily A member 1,2181,1989,1568,2246,1964,2094,2787,3926,2106,2922,3056,2711,2100,1462,1803
AGAP000009,protein coding gene,syntaxin-binding protein,6066,4907,5030,4984,4412,4845,3310,5906,3698,4337,4162,3946,3811,2342,2993
AGAP000010,protein coding gene,ethanolamine kinase,638,574,564,347,314,395,390,609,273,763,735,553,238,229,299
AGAP000011,protein coding gene,Branched-chain-amino-acid aminotransferase [Source:UniProtKB/TrEMBL;Acc:Q7QEI9],3288,3982,5266,3209,2822,3737,1996,3155,1578,11234,7833,2783,3234,3371,5173
AGAP000012,protein coding gene,tyrosyl-tRNA synthetase,197,176,162,95,109,109,48,151,16,172,159,168,78,87,109
AGAP000013,protein coding gene,unspecified product,1161,907,848,795,816,902,671,967,502,909,1311,798,569,457,634
AGAP000014,protein coding gene,DUF4149 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G8C2],236,177,141,204,173,217,59,186,18,197,243,174,159,107,126
AGAP000015,protein coding gene,proto-oncogene tyrosine-protein kinase ROS,643,582,528,670,547,574,290,582,158,525,588,406,464,444,479
AGAP000016,protein coding gene,Class B Scavenger Receptor (CD36 domain).,469,488,557,297,309,324,222,443,88,338,471,431,181,164,220
AGAP000017,protein coding gene,unspecified product,12297,10015,9097,9213,8603,8626,6780,10998,6794,8401,9278,8835,6156,4238,5747
AGAP000018,protein coding gene,"phosphatidylinositol-4,5-bisphosphate 3-kinase",2008,1770,1589,1684,1645,1649,1365,2116,1035,1902,2117,1644,1165,836,1235
AGAP000019,protein coding gene,chaoptin,1361,1062,975,689,706,722,401,1045,184,797,951,737,326,368,444
AGAP000021,protein coding gene,unspecified product,305,304,210,268,260,204,175,302,75,291,341,252,141,150,170
AGAP000022,protein coding gene,amino acid transporter protein,2940,2574,2250,1612,1644,1833,968,2330,445,3329,3158,2194,1502,1081,1977
AGAP000023,protein coding gene,unspecified product,3280,3287,2693,1879,1654,1350,889,3001,482,2805,3478,3029,1190,878,1583
AGAP000025,protein coding gene,unspecified product,2160,1595,1250,1569,1405,1367,1178,1977,1028,1834,2006,1528,1194,856,1169
AGAP000028,protein coding gene,calcium/calmodulin-dependent protein kinase (CaM kinase) II,2914,2010,2067,1983,1590,2006,1432,2463,1641,1890,1777,1916,1748,1188,1420
AGAP000029,protein coding gene,E1A/CREB-binding protein,16355,12179,12057,12308,11935,11434,8557,15978,7738,14238,12187,12306,10611,7181,9791
AGAP000032,protein coding gene,Integrin_alpha2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G7X5],4595,3960,4153,3043,3120,3466,1889,3344,1236,2968,4096,3143,2278,1851,2117
AGAP000033,protein coding gene,Protein retinal degeneration B,1719,1472,1506,1766,1461,1279,1138,1727,1250,1377,1408,1326,1250,817,1141
AGAP000035,protein coding gene,unspecified product,2552,2075,1964,1535,1443,1688,932,2159,558,1924,1941,1695,1227,847,1227
AGAP000037,protein coding gene,unspecified product,3987,3181,3520,3119,2227,3319,2350,3914,3390,3042,2622,2605,2727,1599,1769
AGAP000038,protein coding gene,gamma-aminobutyric acid receptor subunit beta,232,223,198,234,142,218,118,235,81,134,153,124,153,89,128
AGAP000039,protein coding gene,unspecified product,90,120,83,82,50,103,57,103,22,71,68,62,39,25,41
AGAP000040,protein coding gene,MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7QEL2],1277,1142,1009,826,931,861,371,1089,108,890,1366,882,547,413,697
AGAP000041,protein coding gene,unspecified product,256,193,227,135,140,196,80,215,112,122,129,124,141,84,123
AGAP000042,protein coding gene,Histone-lysine N-methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1S4G7P2],3722,2775,2733,2640,2411,2447,1789,3047,1343,2800,3132,2373,1981,1326,2014
